MJD GSC_ch1
55412.5 0.063
55413.5 0.056
55414.5 0.073
55415.5 0.058
55416.5 0.069
55417.5 0.063
55418.5 0.061
55419.5 0.086
55420.5 0.050
55421.5 0.049
55422.5 0.069
55423.5 0.063
55424.5 0.058
55425.5 0.049
55426.5 0.053
55427.5 0.062
55428.5 0.076
55429.5 0.061
55430.5 0.057
55431.5 0.045
55432.5 0.050
55433.5 0.048
55434.5 0.028
55435.5 0.059
55436.5 0.045
55437.5 0.000
55438.5 0.000
55439.5 0.000
55440.5 0.000
55441.5 0.000
55442.5 0.000
55443.5 0.000
55444.5 0.000
55445.5 0.000
55446.5 0.000
55447.5 -0.027
55448.5 0.064
55449.5 0.001
55450.5 0.000
55451.5 0.037
55452.5 0.087
55453.5 0.000
55454.5 0.000
55455.5 0.000
55456.5 0.000
55457.5 0.000
55458.5 0.000
55459.5 0.000
55460.5 0.000
55461.5 0.000
55462.5 0.000
55463.5 0.017
55464.5 0.025
55465.5 0.053
55466.5 0.056
55467.5 0.052
55468.5 0.064
55469.5 0.066
55470.5 0.032
55471.5 0.060
55472.5 0.043
55473.5 0.017
55474.5 0.046
55475.5 0.042
55476.5 0.069
55477.5 0.046
55478.5 0.038
55479.5 0.028
55480.5 0.051
55481.5 0.055
55482.5 0.054
55483.5 0.048
55484.5 0.039
55485.5 0.040
55486.5 0.051
55487.5 0.051
55488.5 0.040
55489.5 0.027
55490.5 0.056
55491.5 0.029
55492.5 0.046
55493.5 0.040
55494.5 0.037
55495.5 0.034
55496.5 0.033
55497.5 0.036
55498.5 0.038
55499.5 0.046
55500.5 0.037
55501.5 0.044
55502.5 0.046
55503.5 0.030
55504.5 0.046
55505.5 0.060
55506.5 0.030
55507.5 0.038
55508.5 0.013
55509.5 0.000
55510.5 0.000
55511.5 0.000
55512.5 0.000
55513.5 0.000
55514.5 0.000
55515.5 0.000
55516.5 0.000
55517.5 0.000
55518.5 0.046
55519.5 0.040
55520.5 0.000
55521.5 0.000
55522.5 0.050
55523.5 0.000
55524.5 0.000
55525.5 0.000
55526.5 0.000
55527.5 0.000
55528.5 0.000
55529.5 0.000
55530.5 0.000
55531.5 0.000
55532.5 0.000
55533.5 0.051
55534.5 0.039
55535.5 0.053
55536.5 0.044
55537.5 0.037
55538.5 0.021
55539.5 0.047
55540.5 0.047
55541.5 0.043
55542.5 0.030
55543.5 0.057
55544.5 0.036
55545.5 0.031
55546.5 0.048
55547.5 0.036
55548.5 0.044
55549.5 0.064
55550.5 0.042
55551.5 0.044
55552.5 0.036
55553.5 0.054
55554.5 0.046
55555.5 0.044
55556.5 0.047
55557.5 0.045
55558.5 0.054
55559.5 0.043
55560.5 0.059
55561.5 0.050
55562.5 0.059
55563.5 0.046
55564.5 0.042
55565.5 0.034
55566.5 0.062
55567.5 0.039
55568.5 0.045
55569.5 0.023
55570.5 0.040
55571.5 0.035
55572.5 0.055
55573.5 0.045
55574.5 0.043
55575.5 0.038
55576.5 0.049
55577.5 0.051
55578.5 0.052
55579.5 0.000
55580.5 0.000
55581.5 0.000
55582.5 0.000
55583.5 0.000
55584.5 0.000
55585.5 0.000
55586.5 0.000
55587.5 0.000
55588.5 0.000
55589.5 0.000
55590.5 0.000
55591.5 0.000
55592.5 0.037
55593.5 0.000
55594.5 0.000
55595.5 0.000
55596.5 0.000
55597.5 0.000
55598.5 0.000
55599.5 0.000
55600.5 0.000
55601.5 0.000
55602.5 0.000
55603.5 0.024
55604.5 0.036
55605.5 0.026
55606.5 0.039
55607.5 0.046
55608.5 0.032
55609.5 0.035
55610.5 0.040
55611.5 0.035
55612.5 0.035
55613.5 0.026
55614.5 0.026
55615.5 0.048
55616.5 0.037
55617.5 0.032
55618.5 0.042
55619.5 0.034
55620.5 0.038
55621.5 0.047
55622.5 0.028
55623.5 0.034
55624.5 0.030
55625.5 0.043
55626.5 0.035
55627.5 0.045
55628.5 0.040
55629.5 0.038
55630.5 0.049
55631.5 0.029
55632.5 0.033
55633.5 0.033
55634.5 0.032
55635.5 0.044
55636.5 0.047
55637.5 0.023
55638.5 0.029
55639.5 0.027
55640.5 0.037
55641.5 0.044
55642.5 0.032
55643.5 0.036
55644.5 0.028
55645.5 0.038
55646.5 0.048
55647.5 0.054
55648.5 0.058
55649.5 0.000
55650.5 0.000
55651.5 0.000
55652.5 0.000
55653.5 0.000
55654.5 0.000
55655.5 0.000
55656.5 0.000
55657.5 0.039
55658.5 0.000
55659.5 0.038
55660.5 0.043
55661.5 0.000
55662.5 0.000
55663.5 0.000
55664.5 0.000
55665.5 0.000
55666.5 0.000
55667.5 0.000
55668.5 0.000
55669.5 0.000
55670.5 0.000
55671.5 0.000
55672.5 0.000
55673.5 0.026
55674.5 0.001
55675.5 0.044
55676.5 0.036
55677.5 0.056
55678.5 0.022
55679.5 0.022
55680.5 0.054
55681.5 0.035
55682.5 0.033
55683.5 0.050
55684.5 0.026
55685.5 0.045
55686.5 0.054
55687.5 0.046
55688.5 0.036
55689.5 0.034
55690.5 0.025
55691.5 0.037
55692.5 0.036
55693.5 0.049
55694.5 0.037
55695.5 0.043
55696.5 0.029
55697.5 0.000
55698.5 0.000
55699.5 0.000
55700.5 0.000
55701.5 -0.007
55702.5 0.064
55703.5 0.040
55704.5 0.063
55705.5 0.069
55706.5 0.029
55707.5 0.047
55708.5 0.039
55709.5 0.015
55710.5 -0.009
55711.5 0.016
55712.5 0.046
55713.5 0.046
55714.5 0.037
55715.5 0.027
55716.5 0.044
55717.5 0.023
55718.5 0.078
55719.5 0.000
55720.5 0.000
55721.5 0.041
55722.5 0.000
55723.5 0.000
55724.5 0.000
55725.5 0.000
55726.5 0.000
55727.5 0.000
55728.5 0.000
55729.5 0.024
55730.5 0.057
55731.5 0.049
55732.5 0.036
55733.5 0.168
55734.5 0.000
55735.5 0.000
55736.5 0.000
55737.5 0.000
55738.5 0.000
55739.5 0.000
55740.5 0.000
55741.5 0.000
55742.5 0.000
55743.5 0.000
55744.5 0.042
55745.5 0.055
55746.5 0.034
55747.5 0.058
55748.5 0.051
55749.5 0.041
55750.5 0.043
55751.5 0.065
55752.5 0.057
55753.5 0.042
55754.5 0.023
55755.5 0.038
55756.5 0.043
55757.5 0.032
55758.5 0.044
55759.5 0.045
55760.5 0.040
55761.5 0.040
55762.5 0.030
55763.5 0.043
55764.5 0.048
55765.5 0.048
55766.5 0.039
55767.5 0.055
55768.5 0.059
55769.5 0.038
55770.5 0.048
55771.5 0.031
55772.5 0.049
55773.5 0.042
55774.5 0.048
55775.5 0.035
55776.5 0.057
55777.5 0.036
55778.5 0.037
55779.5 0.044
55780.5 0.034
55781.5 0.051
55782.5 0.052
55783.5 0.068
55784.5 0.069
55785.5 0.061
55786.5 0.026
55787.5 0.000
55788.5 0.000
55789.5 0.000
55790.5 0.000
55791.5 0.000
55792.5 0.000
55793.5 0.000
55794.5 0.000
55795.5 0.000
55796.5 0.000
55797.5 0.000
55798.5 0.000
55799.5 0.000
55800.5 0.030
55801.5 0.051
55802.5 0.000
55803.5 0.000
55804.5 0.050
55805.5 0.000
55806.5 0.000
55807.5 0.000
55808.5 0.000
55809.5 0.000
55810.5 0.000
55811.5 0.000
55812.5 0.000
55813.5 0.000
55814.5 0.000
55815.5 0.061
55816.5 0.040
55817.5 0.051
55818.5 0.078
55819.5 0.057
55820.5 0.061
55821.5 0.060
55822.5 0.061
55823.5 0.046
55824.5 0.057
55825.5 0.055
55826.5 0.081
55827.5 0.070
55828.5 0.063
55829.5 0.046
55830.5 0.050
55831.5 0.078
55832.5 0.060
55833.5 0.054
55834.5 0.057
55835.5 0.065
55836.5 0.077
55837.5 0.071
55838.5 0.068
55839.5 0.045
55840.5 0.086
55841.5 0.055
55842.5 0.036
55843.5 0.066
55844.5 0.055
55845.5 0.055
55846.5 0.052
55847.5 0.051
55848.5 0.054
55849.5 0.058
55850.5 0.043
55851.5 0.056
55852.5 0.047
55853.5 0.071
55854.5 0.069
55855.5 0.057
55856.5 0.056
55857.5 0.040
55858.5 0.040
55859.5 0.045
55860.5 0.035
55861.5 0.065
55862.5 0.000
55863.5 -0.000
55864.5 0.000
55865.5 0.000
55866.5 0.000
55867.5 0.000
55868.5 0.000
55869.5 0.000
55870.5 0.000
55871.5 0.000
55872.5 0.042
55873.5 0.025
55874.5 0.000
55875.5 0.069
55876.5 0.092
55877.5 0.000
55878.5 0.000
55879.5 0.000
55880.5 0.000
55881.5 0.034
55882.5 0.000
55883.5 0.000
55884.5 0.000
55885.5 0.000
55886.5 0.000
55887.5 0.025
55888.5 0.031
55889.5 0.061
55890.5 0.062
55891.5 0.036
55892.5 0.040
55893.5 0.041
55894.5 0.056
55895.5 0.047
55896.5 0.044
55897.5 0.042
55898.5 0.050
55899.5 0.049
55900.5 0.054
55901.5 0.046
55902.5 0.057
55903.5 0.038
55904.5 0.065
55905.5 0.033
55906.5 0.067
55907.5 0.051
55908.5 0.037
55909.5 0.033
55910.5 0.038
55911.5 0.034
55912.5 0.054
55913.5 0.071
55914.5 0.029
55915.5 0.050
55916.5 0.052
55917.5 0.053
55918.5 0.056
55919.5 0.045
55920.5 0.051
55921.5 0.034
55922.5 0.031
55923.5 0.048
55924.5 0.034
55925.5 0.028
55926.5 0.057
55927.5 0.024
55928.5 0.035
55929.5 0.034
55930.5 0.033
55931.5 0.015
55932.5 0.051
55933.5 0.052
55934.5 0.000
55935.5 0.000
55936.5 0.000
55937.5 0.000
55938.5 0.000
55939.5 0.000
55940.5 0.000
55941.5 0.000
55942.5 0.000
55943.5 0.000
55944.5 0.000
55945.5 0.000
55946.5 0.040
55947.5 0.069
55948.5 0.000
55949.5 0.039
55950.5 0.000
55951.5 0.000
55952.5 0.000
55953.5 0.000
55954.5 0.000
55955.5 0.000
55956.5 0.000
55957.5 0.000
55958.5 0.000
55959.5 0.038
55960.5 0.043
55961.5 0.025
55962.5 0.046
55963.5 0.031
55964.5 0.051
55965.5 0.030
55966.5 0.044
55967.5 0.037
55968.5 0.035
55969.5 0.061
55970.5 0.042
55971.5 0.027
55972.5 0.042
55973.5 0.029
55974.5 0.032
55975.5 0.039
55976.5 0.032
55977.5 0.027
55978.5 0.029
55979.5 0.037
55980.5 0.037
55981.5 0.036
55982.5 0.037
55983.5 0.043
55984.5 0.038
55985.5 0.043
55986.5 0.043
55987.5 0.037
55988.5 0.039
55989.5 0.031
55990.5 0.050
55991.5 0.061
55992.5 0.044
55993.5 0.025
55994.5 0.044
55995.5 0.036
55996.5 0.033
55997.5 0.034
55998.5 0.032
55999.5 0.035
56000.5 0.021
56001.5 0.038
56002.5 0.041
56003.5 0.035
56004.5 0.054
56005.5 0.082
56006.5 0.000
56007.5 0.000
56008.5 0.000
56009.5 0.000
56010.5 0.000
56011.5 0.000
56012.5 0.000
56013.5 0.000
56014.5 0.000
56015.5 0.017
56016.5 0.039
56017.5 0.051
56018.5 0.000
56019.5 -0.022
56020.5 0.000
56021.5 0.000
56022.5 0.000
56023.5 0.000
56024.5 0.000
56025.5 0.000
56026.5 0.000
56027.5 0.000
56028.5 0.000
56029.5 0.000
56030.5 0.000
56031.5 -0.005
56032.5 0.012
56033.5 0.041
56034.5 0.043
56035.5 0.033
56036.5 0.046
56037.5 0.046
56038.5 0.042
56039.5 0.047
56040.5 0.055
56041.5 0.043
56042.5 0.055
56043.5 0.059
56044.5 0.017
56045.5 0.047
56046.5 0.029
56047.5 0.028
56048.5 0.066
56049.5 0.053
56050.5 0.043
56051.5 0.046
56052.5 0.045
56053.5 0.046
56054.5 0.066
56055.5 0.042
56056.5 0.041
56057.5 0.033
56058.5 0.000
56059.5 0.000
56060.5 0.000
56061.5 0.000
56062.5 0.000
56063.5 0.000
56064.5 0.000
56065.5 0.079
56066.5 0.076
56067.5 0.053
56068.5 0.063
56069.5 0.032
56070.5 0.046
56071.5 0.041
56072.5 0.056
56073.5 0.030
56074.5 0.045
56075.5 0.040
56076.5 0.037
56077.5 0.000
56078.5 0.000
56079.5 0.000
56080.5 0.000
56081.5 0.000
56082.5 0.000
56083.5 0.000
56084.5 0.000
56085.5 0.000
56086.5 0.000
56087.5 0.032
56088.5 -0.066
56089.5 0.039
56090.5 0.056
56091.5 0.089
56092.5 0.000
56093.5 0.000
56094.5 0.000
56095.5 0.000
56096.5 0.000
56097.5 0.000
56098.5 0.000
56099.5 0.000
56100.5 0.000
56101.5 0.000
56102.5 0.042
56103.5 0.058
56104.5 0.032
56105.5 0.033
56106.5 0.060
56107.5 0.046
56108.5 0.041
56109.5 0.039
56110.5 0.054
56111.5 0.042
56112.5 0.030
56113.5 0.033
56114.5 0.044
56115.5 0.037
56116.5 0.043
56117.5 0.063
56118.5 0.034
56119.5 0.078
56120.5 0.051
56121.5 0.040
56122.5 0.086
56123.5 0.065
56124.5 0.072
56125.5 0.055
56126.5 0.048
56127.5 0.036
56128.5 0.059
56129.5 0.063
56130.5 0.054
56131.5 0.054
56132.5 0.043
56133.5 0.059
56134.5 0.035
56135.5 0.058
56136.5 0.073
56137.5 0.051
56138.5 0.066
56139.5 0.061
56140.5 0.049
56141.5 0.065
56142.5 0.046
56143.5 0.040
56144.5 0.067
56145.5 0.051
56146.5 0.027
56147.5 0.000
56148.5 0.000
56149.5 0.000
56150.5 0.000
56151.5 0.000
56152.5 0.000
56153.5 0.000
56154.5 0.000
56155.5 0.000
56156.5 0.000
56157.5 0.000
56158.5 0.106
56159.5 0.047
56160.5 0.013
56161.5 0.089
56162.5 0.060
56163.5 0.057
56164.5 0.000
56165.5 0.000
56166.5 0.000
56167.5 0.000
56168.5 0.000
56169.5 0.000
56170.5 0.000
56171.5 0.000
56172.5 0.000
56173.5 0.000
56174.5 0.071
56175.5 0.045
56176.5 0.044
56177.5 0.040
56178.5 0.084
56179.5 0.047
56180.5 0.062
56181.5 0.056
56182.5 0.045
56183.5 0.036
56184.5 0.062
56185.5 0.037
56186.5 0.056
56187.5 0.039
56188.5 0.065
56189.5 0.046
56190.5 0.066
56191.5 0.053
56192.5 0.040
56193.5 0.056
56194.5 0.057
56195.5 0.099
56196.5 0.079
56197.5 0.050
56198.5 0.039
56199.5 0.029
56200.5 0.033
56201.5 0.070
56202.5 0.048
56203.5 0.064
56204.5 0.071
56205.5 0.035
56206.5 0.054
56207.5 0.046
56208.5 0.040
56209.5 0.050
56210.5 0.063
56211.5 0.050
56212.5 0.035
56213.5 0.046
56214.5 0.039
56215.5 0.047
56216.5 0.050
56217.5 0.035
56218.5 0.048
56219.5 0.039
56220.5 0.049
56221.5 0.064
56222.5 0.000
56223.5 0.000
56224.5 0.000
56225.5 0.024
56226.5 0.000
56227.5 0.000
56228.5 0.000
56229.5 0.000
56230.5 0.000
56231.5 -0.014
56232.5 0.045
56233.5 0.035
56234.5 0.000
56235.5 0.000
56236.5 0.000
56237.5 0.000
56238.5 0.000
56239.5 0.000
56240.5 0.000
56241.5 0.000
56242.5 0.000
56243.5 0.000
56244.5 0.000
56245.5 0.000
56246.5 0.000
56247.5 0.038
56248.5 0.074
56249.5 0.054
56250.5 0.045
56251.5 0.046
56252.5 0.063
56253.5 0.045
56254.5 0.049
56255.5 0.050
56256.5 0.029
56257.5 0.035
56258.5 0.081
56259.5 0.036
56260.5 0.015
56261.5 0.049
56262.5 0.037
56263.5 0.050
56264.5 0.043
56265.5 0.028
56266.5 0.060
56267.5 0.029
56268.5 0.059
56269.5 0.040
56270.5 0.052
56271.5 0.050
56272.5 0.030
56273.5 0.045
56274.5 0.041
56275.5 0.040
56276.5 0.063
56277.5 0.022
56278.5 0.032
56279.5 0.055
56280.5 0.030
56281.5 0.031
56282.5 0.028
56283.5 0.033
56284.5 0.046
56285.5 0.042
56286.5 0.041
56287.5 0.046
56288.5 0.017
56289.5 0.039
56290.5 0.029
56291.5 0.036
56292.5 0.037
56293.5 0.040
56294.5 0.037
56295.5 0.000
56296.5 0.000
56297.5 0.000
56298.5 0.000
56299.5 0.000
56300.5 0.000
56301.5 0.000
56302.5 0.000
56303.5 0.000
56304.5 0.000
56305.5 0.000
56306.5 0.000
56307.5 0.000
56308.5 0.019
56309.5 0.000
56310.5 0.000
56311.5 0.000
56312.5 0.000
56313.5 0.000
56314.5 0.000
56315.5 0.000
56316.5 0.000
56317.5 0.000
56318.5 0.000
56319.5 0.000
56320.5 0.052
56321.5 0.035
56322.5 0.041
56323.5 0.023
56324.5 0.025
56325.5 0.046
56326.5 0.039
56327.5 0.037
56328.5 0.031
56329.5 0.040
56330.5 0.037
56331.5 0.043
56332.5 0.037
56333.5 0.054
56334.5 0.037
56335.5 0.052
56336.5 0.035
56337.5 0.036
56338.5 0.029
56339.5 0.044
56340.5 0.039
56341.5 0.051
56342.5 0.024
56343.5 0.058
56344.5 0.030
56345.5 0.036
56346.5 0.032
56347.5 0.045
56348.5 0.049
56349.5 0.048
56350.5 0.056
56351.5 0.039
56352.5 0.043
56353.5 0.035
56354.5 0.037
56355.5 0.036
56356.5 0.036
56357.5 0.033
56358.5 0.055
56359.5 0.050
56360.5 0.054
56361.5 0.060
56362.5 0.023
56363.5 0.040
56364.5 0.045
56365.5 0.022
56366.5 0.046
56367.5 0.000
56368.5 0.000
56369.5 0.000
56370.5 0.000
56371.5 0.000
56372.5 0.000
56373.5 0.000
56374.5 0.000
56375.5 0.000
56376.5 0.125
56377.5 0.056
56378.5 0.039
56379.5 0.000
56380.5 0.022
56381.5 0.000
56382.5 0.000
56383.5 0.000
56384.5 0.000
56385.5 0.000
56386.5 0.000
56387.5 0.000
56388.5 0.000
56389.5 0.000
56390.5 0.000
56391.5 0.000
56392.5 0.046
56393.5 -0.026
56394.5 0.000
56395.5 0.025
56396.5 0.027
56397.5 0.041
56398.5 0.050
56399.5 0.039
56400.5 0.040
56401.5 0.037
56402.5 0.039
56403.5 0.058
56404.5 0.049
56405.5 0.039
56406.5 0.040
56407.5 0.050
56408.5 0.036
56409.5 0.070
56410.5 0.034
56411.5 0.058
56412.5 0.041
56413.5 0.048
56414.5 0.040
56415.5 0.035
56416.5 0.060
56417.5 0.044
56418.5 0.047
56419.5 0.051
56420.5 0.043
56421.5 0.000
56422.5 0.000
56423.5 0.000
56424.5 0.000
56425.5 0.000
56426.5 0.000
56427.5 0.000
56428.5 0.000
56429.5 0.008
56430.5 0.048
56431.5 0.050
56432.5 0.054
56433.5 0.046
56434.5 0.012
56435.5 0.036
56436.5 0.041
56437.5 0.050
56438.5 0.015
56439.5 0.038
56440.5 0.025
56441.5 0.005
56442.5 0.000
56443.5 0.000
56444.5 0.000
56445.5 0.000
56446.5 0.000
56447.5 0.000
56448.5 0.000
56449.5 0.060
56450.5 0.604
56451.5 0.279
56452.5 0.019
56453.5 0.077
56454.5 0.000
56455.5 0.000
56456.5 0.000
56457.5 0.000
56458.5 0.000
56459.5 0.000
56460.5 0.000
56461.5 0.000
56462.5 0.000
56463.5 0.000
56464.5 0.017
56465.5 0.028
56466.5 0.023
56467.5 0.054
56468.5 0.035
56469.5 0.025
56470.5 0.045
56471.5 0.056
56472.5 0.054
56473.5 0.045
56474.5 0.039
56475.5 0.045
56476.5 0.023
56477.5 0.046
56478.5 0.057
56479.5 0.043
56480.5 0.042
56481.5 0.042
56482.5 0.056
56483.5 0.045
56484.5 0.035
56485.5 0.024
56486.5 0.036
56487.5 0.038
56488.5 0.038
56489.5 0.024
56490.5 0.051
56491.5 0.042
56492.5 0.050
56493.5 0.057
56494.5 0.046
56495.5 0.043
56496.5 0.031
56497.5 0.064
56498.5 0.043
56499.5 0.052
56500.5 0.032
56501.5 0.062
56502.5 0.025
56503.5 0.028
56504.5 0.057
56505.5 0.051
56506.5 0.031
56507.5 0.039
56508.5 0.040
56509.5 0.053
56510.5 0.000
56511.5 0.000
56512.5 0.000
56513.5 0.000
56514.5 0.000
56515.5 0.000
56516.5 0.000
56517.5 0.000
56518.5 0.000
56519.5 0.000
56520.5 0.000
56521.5 0.000
56522.5 0.000
56523.5 0.000
56524.5 0.000
56525.5 0.000
56526.5 0.000
56527.5 0.000
56528.5 0.000
56529.5 0.000
56530.5 0.000
56531.5 0.000
56532.5 0.000
56533.5 0.000
56534.5 0.000
56535.5 0.000
56536.5 0.000
56537.5 0.030
56538.5 0.035
56539.5 0.062
56540.5 0.036
56541.5 0.053
56542.5 0.039
56543.5 0.041
56544.5 0.034
56545.5 0.036
56546.5 0.075
56547.5 0.047
56548.5 0.084
56549.5 0.032
56550.5 0.046
56551.5 0.045
56552.5 0.053
56553.5 0.055
56554.5 0.055
56555.5 0.051
56556.5 0.042
56557.5 0.059
56558.5 0.050
56559.5 0.058
56560.5 0.052
56561.5 0.045
56562.5 0.039
56563.5 0.028
56564.5 0.037
56565.5 0.044
56566.5 0.040
56567.5 0.039
56568.5 0.041
56569.5 0.038
56570.5 0.053
56571.5 0.036
56572.5 0.026
56573.5 0.078
56574.5 0.026
56575.5 0.022
56576.5 0.035
56577.5 0.029
56578.5 0.045
56579.5 0.031
56580.5 0.056
56581.5 0.019
56582.5 0.023
56583.5 0.027
56584.5 0.063
56585.5 0.000
56586.5 0.000
56587.5 0.000
56588.5 0.000
56589.5 0.000
56590.5 0.000
56591.5 0.000
56592.5 0.000
56593.5 0.000
56594.5 0.000
56595.5 0.000
56596.5 0.000
56597.5 0.000
56598.5 0.000
56599.5 0.000
56600.5 0.000
56601.5 0.000
56602.5 0.000
56603.5 0.000
56604.5 0.000
56605.5 0.000
56606.5 0.000
56607.5 0.000
56608.5 0.000
